"","eif_beta1","eif_beta0","eif_alpha","tp_pd_beta1","tp_pd_beta0","tp_pd_alpha","pd_om_beta1","pd_om_beta0","pd_om_alpha","rho"
"150",0.480234238434676,-0.593752417483463,310.080799009778,0.476854032613515,-0.611674330540283,354.366608051883,0.464766175930434,-0.46367903645407,340.097682887915,0.1
"151",0.450437741348168,-0.602644852350026,402.623873513537,0.449880413819488,-0.600521294815026,373.536437100233,0.451374729634527,-0.42298662206863,350.441643862913,0.1
"152",0.488609622876528,-0.808737261538969,335.429573552517,0.479174400083413,-0.669894239367247,403.834576973466,0.451415766117661,-0.478057944136171,371.537782519179,0.1
"153",0.581314320969367,-0.8613524519997,227.449875292431,0.567794883779345,-0.707537689540713,280.434175138448,0.477526895160608,-0.40405012036905,320.709612788937,0.1
"154",0.42313481115022,-0.689801508969751,373.061773495599,0.447473054626693,-0.591166898344706,406.678460428719,0.475642281663964,-0.464625670461335,414.866109977764,0.1
"155",0.481324105412476,-0.487728942016976,402.672690437906,0.476989776342093,-0.510587274544596,375.784663892256,0.476617499265158,-0.390294354331693,344.336902487525,0.1
"156",0.516455704736605,-0.668112831400527,420.603118104316,0.519364350704591,-0.595803463885469,425.547836386939,0.46667371727381,-0.409140133069307,456.671362107372,0.1
"157",0.502542280380815,-0.785345988917763,276.414200188635,0.499237854752018,-0.611185860341633,323.332407106692,0.479928007180933,-0.539310563835037,298.05432420015,0.1
"158",0.523246870150958,-0.512004869157024,525.263329708572,0.51849549359769,-0.507695336022087,473.892897283624,0.469570525582876,-0.48959427935669,436.977462263907,0.1
"159",0.438601647753508,-0.696291007551887,499.223813131706,0.453606717306541,-0.681758887666316,498.378133954887,0.47070524771443,-0.523784428900633,368.952252566359,0.1
"160",0.426445150301033,-0.719624170807329,409.483927198101,0.44099483248054,-0.684423935335254,418.107569548863,0.483186000093077,-0.453421309950333,309.640074514502,0.1
"161",0.478933842152965,-0.831357699638856,337.109141062757,0.477615045126212,-0.751667382288604,303.848293257314,0.468174723542271,-0.443152598161125,306.832462226034,0.1
"162",0.476653936329802,-0.569483926676449,373.675499529326,0.470824336229139,-0.577900106122291,402.516971854566,0.480990640200534,-0.469549036740339,364.091414069377,0.1
"163",0.4114144761823,-0.592707082915914,409.342681995493,0.421519274557423,-0.547753938151887,418.649718586354,0.464257394629619,-0.468357069983507,384.628651852866,0.1
"164",0.527091358823924,-0.837332523730396,221.825749660095,0.514509179495834,-0.745926399515012,224.194725155103,0.465868054069594,-0.563603358638915,322.632536408149,0.1
"165",0.525485266568441,-0.47771856085584,212.997426764084,0.51542783347069,-0.454651202562375,244.509266599832,0.474434504403942,-0.417421124968064,291.508523333205,0.1
"166",0.49293120716457,-0.690486888776208,528.449318123447,0.481614675493199,-0.699566135612745,462.535407481952,0.474114471009994,-0.471315916570084,356.136562894768,0.1
"167",0.390321044111326,-0.569615005039266,395.872803186114,0.408006773244634,-0.581718175942747,370.296753135856,0.451347235789254,-0.41591518493062,372.394464570311,0.1
